('Wichtigstes_zum_verstehen', 'wichtigsteverstehen');Wichtigste, wichtigste;[10, 5, 4, 8]
('Menschliches', 'menschliches');Mensch-zu-Tier, menschtier, tiermensch;[314]
('Religionen', 'religionen', 'religion');Superkräfte, Superkraefte;[444, 494, 496, 503]
('Galaxie', 'galaxie', 'alteschriften', 'kreis', 'galaxien', 'kreise');Superkräfte, Superkraefte;[444, 494, 496]
('Universum', 'universum', 'transzendentalien', 'strukturalien', 'kugel', 'kugeln', 'ball', 'baelle', 'bälle');Evolution_vs_Design_intelligent;[519]
('Menschliches', 'menschliches');Evolution_vs_Design_intelligent;[519]
('Menschliches', 'menschliches');Superkräfte, Superkraefte;[444, 494, 496]
('Menschliches', 'menschliches');Formationen;[461]
('Menschliches', 'menschliches');Ansichten_Standpunkte(18_17), ansichten;[240, 346]
('Menschliches', 'menschliches');(politische)_Richtungen(7), richtungen, politische;[235]
('Planet(10_und_oder_12)', 'planet');Wirklichkeiten(10), wirklichkeit, wirklichkeiten;[233, 265, 268, 322, 420]
('Planet(10_und_oder_12)', 'planet');Meta-Systeme(12), metasysteme, metasystem, meta-systeme, meta-system;[232, 288, 334, 410, 411, 483, 79, 80, 497, 498, 499]
('Planet(10_und_oder_12)', 'planet');Intelligenz, intelligenz;[214]
('Planet(10_und_oder_12)', 'planet');Gleichheit_Freiheit_Ordnung, gleichheit, freiheit, gleichheit;[132, 324, 328, 79, 80, 331, 335, 497, 498, 499]
('Planet(10_und_oder_12)', 'planet');Komplexität, komplexität, komplexitaet;[213]
('Planet(10_und_oder_12)', 'planet');Mechanismen, mechanismen, mechanismus;[107]
('Wichtigstes_zum_verstehen', 'wichtigsteverstehen');Zweitwichtigste, zweitwichtigste;[19, 65, 183]
('Wichtigstes_zum_verstehen', 'wichtigsteverstehen');Drittwichtigste, drittwichtigste;[64]
('Wichtigstes_zum_verstehen', 'wichtigsteverstehen');Motive_Sternpolygone, viertwichtigste;[]
('Wichtigstes_zum_gedanklich_einordnen', 'wichtigsteeinordnen');Wichtigste, wichtigstes;[0, 1, 2, 36, 37, 207]
('Wichtigstes_zum_gedanklich_einordnen', 'wichtigsteeinordnen');Zweitwichtigste, zweitwichtigste;[30]
('Operationen', 'operationen');Halbierung, halbierung, halbierungen;[86]
('Religionen', 'religionen', 'religion');Religions-Gründer-Typ, religionsgründertyp, prophet, archon, religionsgruendertyp;[72, 503]
('Religionen', 'religionen', 'religion');Satan_Teufel;[495]
('Menschliches', 'menschliches');Satan_Teufel;[495]
